symbol,instrument_typ,instrument_class,affects_derivative_position,last_event_time,reconstructed_position,trade_event_count,funding_event_count,settlement_event_count,event_count,final_status
ETHZ21,FFCCSX,DERIVATIVE,True,2021-12-31T11:59:59.999000Z,0,869,0,1,870,PASS
ETHZ22,FFCCSX,DERIVATIVE,True,2022-12-21T16:19:51.536000Z,0,182,0,0,182,PASS
ETHZ23,FFCCSX,DERIVATIVE,True,2023-12-29T12:00:00Z,0,270,0,1,271,PASS
ETHZ24,FFCCSX,DERIVATIVE,True,2024-12-27T12:00:10.289000Z,0,79,0,1,80,PASS
LINKUSDT,FFWCSX,DERIVATIVE,True,2021-09-22T09:14:08.137000Z,0,232,21,0,253,PASS
LINKUSDTZ20,FFCCSX,DERIVATIVE,True,2020-09-24T15:38:46.277000Z,0,16,0,0,16,PASS
LTCH21,FFCCSX,DERIVATIVE,True,2021-03-21T04:28:55.762000Z,0,1414,0,0,1414,PASS
LTCM20,FFCCSX,DERIVATIVE,True,2020-06-08T22:11:45.084000Z,0,387,0,0,387,PASS
LTCM21,FFCCSX,DERIVATIVE,True,2021-04-24T05:09:28.694000Z,0,172,0,0,172,PASS
LTCU20,FFCCSX,DERIVATIVE,True,2020-09-04T06:45:08.462000Z,0,316,0,0,316,PASS
LTCU21,FFCCSX,DERIVATIVE,True,2021-09-24T11:59:59.999000Z,0,417,0,1,418,PASS
LTCUSD,FFWCSX,DERIVATIVE,True,2023-12-06T16:47:47.204000Z,0,6595,878,0,7473,PASS
LTCZ20,FFCCSX,DERIVATIVE,True,2020-12-25T11:59:59.999000Z,0,815,0,1,816,PASS
LTCZ21,FFCCSX,DERIVATIVE,True,2021-12-13T19:20:17.272000Z,0,122,0,0,122,PASS
LUNAUSD,FFWCSX,DERIVATIVE,True,2022-01-22T07:59:21.398000Z,0,358,70,0,428,PASS
ORDIUSD,FFWCSX,DERIVATIVE,True,2023-10-19T12:00:00Z,0,9,397,1,407,PASS
TRXH21,FFCCSX,DERIVATIVE,True,2021-03-20T23:20:45.170000Z,0,2218,0,0,2218,PASS
TRXM20,FFCCSX,DERIVATIVE,True,2020-06-14T11:15:54.307000Z,0,137,0,0,137,PASS
TRXM21,FFCCSX,DERIVATIVE,True,2021-05-20T20:56:46.565000Z,0,1468,0,0,1468,PASS
TRXU20,FFCCSX,DERIVATIVE,True,2020-09-23T18:49:35.589000Z,0,771,0,0,771,PASS
TRXU21,FFCCSX,DERIVATIVE,True,2021-09-24T11:59:59.999000Z,0,1758,0,1,1759,PASS
TRXUSDT,FFWCSX,DERIVATIVE,True,2021-11-02T11:59:59.999000Z,0,15,11,1,27,PASS
TRXZ20,FFCCSX,DERIVATIVE,True,2020-12-16T10:03:47.449000Z,0,498,0,0,498,PASS
TRXZ21,FFCCSX,DERIVATIVE,True,2021-12-03T20:39:26.899000Z,0,124,0,0,124,PASS
UNIUSDT,FFWCSX,DERIVATIVE,True,2021-07-13T13:44:24.437000Z,0,806,83,0,889,PASS
XBTM21,FFCCSX,DERIVATIVE,True,2021-06-05T14:48:22.779000Z,0,19,0,0,19,PASS
XBTUSD,FFWCSX,DERIVATIVE,True,2026-07-19T12:00:00.330000Z,-998000,98874,6006,0,104880,PASS
XBT_USDT,IFXXXP,SPOT,False,2023-10-23T20:26:36.426000Z,0,7,0,0,7,PASS
XLMUSDT,FFWCSX,DERIVATIVE,True,2021-04-11T10:00:31.036000Z,0,53,1,0,54,PASS
XRPUSD,FFWCSX,DERIVATIVE,True,2023-06-15T06:59:21.591000Z,0,5497,631,0,6128,PASS
XTZUSDTZ20,FFCCSX,DERIVATIVE,True,2020-10-13T13:57:53.783000Z,0,9,0,0,9,PASS
YFIUSDTH21,FFCCSX,DERIVATIVE,True,2021-03-08T22:24:32.751000Z,0,359,0,0,359,PASS
YFIUSDTZ20,FFCCSX,DERIVATIVE,True,2020-12-25T11:59:59.999000Z,0,507,0,1,508,PASS
