cycle_id,symbol,is_btc_first_scope,direction,open_time,close_time,duration_seconds,initial_qty,maximum_abs_qty,terminal_qty,opening_exec_count,add_count,reduce_count,flip_origin,close_type,opening_execID,closing_execID,cycle_event_count,funding_event_count,gross_pnl_analytical,reported_pnl_total,reported_pnl_count,fee,funding,wallet_net_candidate,wallet_net_status,pnl_currency,reported_pnl_available,ordering_confidence,action_confidence,accounting_confidence,price_confidence,wallet_confidence,overall_confidence,confidence_status,accounting_position_cycle_ids,strategy_fidelity
ETHH23-C0003,ETHH23,False,SHORT,2023-02-22T18:19:44.806000Z,2023-02-24T20:22:42.957000Z,180178.151,-3980000,33000000,263000,1,25,47,NONE,FLIP,0fcda418-d330-29e5-422c-b71b09ee54cf,634f2dd7-92fd-5dd6-6d3f-86b5b5e5e24c,74,0,-68679050.00000000000000000002,0,0,1725704,0,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,"ETHH23-C0003,ETHH23-C0004",BEHAVIORAL_APPROXIMATION
XBTUSD-C0539,XBTUSD,True,SHORT,2023-02-23T02:50:17.618000Z,2023-02-23T11:22:31.455000Z,30733.837,-7300,288000,4000,1,32,32,NONE,FLIP,0135dc56-56fc-f167-6e6d-d862ae8b3a45,77894689-049c-71da-01ff-c8752921414a,66,1,14627895.000000,0,0,904920,-117776,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,"XBTUSD-C0539,XBTUSD-C0540",BEHAVIORAL_APPROXIMATION
XBTUSD-C0540,XBTUSD,True,LONG,2023-02-23T11:22:31.455000Z,2023-02-26T18:58:05.557000Z,286534.102,4000,87000,0,1,18,8,XBTUSD-C0539,FULL_CLOSE,77894689-049c-71da-01ff-c8752921414a,d0866bcc-e445-7a11-4754-5a3e62d3c63c,28,10,4266983.000000000000000000000,0,0,273756,139870,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,XBTUSD-C0540,BEHAVIORAL_APPROXIMATION
ETHH23-C0004,ETHH23,False,LONG,2023-02-24T20:22:42.957000Z,2023-03-31T11:59:59.999000Z,2993837.042,263000,18463000,0,1,79,124,ETHH23-C0003,SETTLEMENT,634f2dd7-92fd-5dd6-6d3f-86b5b5e5e24c,0405f072-04ab-3737-a08a-65d6f84092de,205,0,13878349.99999999999999999999,0,0,1891678,0,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,ETHH23-C0004,BEHAVIORAL_APPROXIMATION
XBTUSD-C0541,XBTUSD,True,SHORT,2023-02-27T00:06:20.094000Z,2023-02-27T13:25:34.582000Z,47954.488,-4900,24000,0,1,3,6,NONE,FULL_CLOSE,239abb2c-eaff-3fa8-751f-128bda184a89,f63100ff-50f9-021c-b8d6-ab2cf9adf091,11,2,113084,0,0,153139,-20432,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,XBTUSD-C0541,BEHAVIORAL_APPROXIMATION
XBTUSD-C0542,XBTUSD,True,LONG,2023-02-27T16:13:02.820000Z,2023-02-28T02:08:56.009000Z,35753.189,20000,40000,0,1,3,5,NONE,FULL_CLOSE,7102e267-60b6-e0c7-ab3e-79358789616f,ca807753-488d-7746-dff9-e4057d3644d2,10,1,1168000,0,0,162760,8589,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,XBTUSD-C0542,BEHAVIORAL_APPROXIMATION
XBTUSD-C0543,XBTUSD,True,LONG,2023-02-28T07:30:01.235000Z,2023-03-03T10:08:30.947000Z,268709.712,600,545200,0,1,27,77,NONE,FULL_CLOSE,c165b157-efa0-4eae-a2c0-758fd3aa5009,fa83295c-f1ad-4be1-8f65-bfcb76066d80,106,9,9182413.999999999999999999998,0,0,1182707,121162,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,LOW,HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,XBTUSD-C0543,BEHAVIORAL_APPROXIMATION
LTCUSD-C0053,LTCUSD,False,LONG,2023-03-03T01:33:01.255000Z,2023-03-04T05:33:18.555000Z,100817.3,1666,1666,0,1,0,10,NONE,FULL_CLOSE,1a0282e2-62cb-0822-335b-0ef5cca9f075,fe0bbdc4-9b61-1c09-bbe5-77eb3e07f288,12,4,1239074,0,0,28064,14713,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LTCUSD-C0053,BEHAVIORAL_APPROXIMATION
XBTUSD-C0544,XBTUSD,True,LONG,2023-03-03T10:50:20.982000Z,2023-03-04T05:29:14.667000Z,67133.685,900,80000,0,1,13,13,NONE,FULL_CLOSE,689d048c-08e2-b037-bbfd-2c2684aa7687,e1285f21-8476-6976-7a2c-e4b3ad624f4b,28,3,1126020.0,0,0,340796,-34613,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,XBTUSD-C0544,BEHAVIORAL_APPROXIMATION
LTCUSD-C0054,LTCUSD,False,LONG,2023-03-04T19:48:33.583000Z,2023-03-10T04:29:05.675000Z,463232.092,666,23112,0,1,37,39,NONE,FULL_CLOSE,ecc60a54-a8c7-ef9e-228b-6fcf76fd2ede,d64f5ecd-24a1-2ca4-2d49-e589525889bb,78,17,-18407832.00000000000000000000,0,0,360151,142678,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LTCUSD-C0054,BEHAVIORAL_APPROXIMATION
