event_time,source_row_number,execID,symbol,spec_id,side,signed_contract_qty,price,lastPx,avgPx,observed_price,observed_last_px,observed_avg_px,execCost,configured_multiplier_raw,configured_tick_size,cost_implied_price,canonical_execution_price,canonical_execCost_raw,canonical_exec_cost_exact,price_delta,abs_price_delta,delta_in_ticks,cost_implied_price_on_tick_grid,observed_last_px_on_tick_grid,lastPx_expected_execCost_raw,difference_raw,difference_raw_per_signed_qty,price_resolution_method,price_precision_status,reconciliation_status,reconciliation_reason,homeNotional,foreignNotional,candidate_foreign_over_home,orderID,trdMatchID,cumQty,lastQty
2021-02-02T07:30:30.607000Z,43191,6078b870-dd16-952d-20b4-b3c14710213c,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,16,23.6,23.6,23.6,23.6,23.6,23.6,3776000,10000,0.0005,23.6,23.6,3776000.0,True,0.0,0.0,0,True,True,3776000.0,0.0,0.0,OBSERVED_LAST_PX_EXACT,EXACT,PASS,,54.68215994531784,-1290.498974709501,-23.59999999999999956110000000,c412800f-b2e5-4b90-ac86-929356b7fc56,,34,16
2021-02-02T07:30:30.678000Z,43192,11258c58-1a76-4e38-4e0e-f129d0ec9ce3,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,25,23.6,23.6,23.6,23.6,23.6,23.6,5900000,10000,0.0005,23.6,23.6,5900000.0,True,0.0,0.0,0,True,True,5900000.0,0.0,0.0,OBSERVED_LAST_PX_EXACT,EXACT,PASS,,85.44087491455913,-2016.4046479835954,-23.59999999999999920412800000,c412800f-b2e5-4b90-ac86-929356b7fc56,,59,25
2021-02-02T07:30:30.707000Z,43193,58f21d1e-cedb-4c00-ef46-29f00fc1fb90,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,18,23.6,23.6,23.6,23.6,23.6,23.6,4248000,10000,0.0005,23.6,23.6,4248000.0,True,0.0,0.0,0,True,True,4248000.0,0.0,0.0,OBSERVED_LAST_PX_EXACT,EXACT,PASS,,61.51742993848257,-1451.8113465481886,-23.59999999999999915471111111,c412800f-b2e5-4b90-ac86-929356b7fc56,,77,18
2021-02-02T07:30:30.733000Z,43194,68e6732e-22af-f0ed-e845-a3b19a781312,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,11,23.6,23.6,23.6,23.6,23.6,23.6,2596000,10000,0.0005,23.6,23.6,2596000.0,True,0.0,0.0,0,True,True,2596000.0,0.0,0.0,OBSERVED_LAST_PX_EXACT,EXACT,PASS,,37.59398496240601,-887.218045112782,-23.60000000000000436240000000,c412800f-b2e5-4b90-ac86-929356b7fc56,,88,11
2021-02-02T07:30:30.791000Z,43195,071f16e3-0aad-6205-a5d7-4cd516b1353f,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,23,23.6,23.6,23.6,23.6,23.6,23.6,5428000,10000,0.0005,23.6,23.6,5428000.0,True,0.0,0.0,0,True,True,5428000.0,0.0,0.0,OBSERVED_LAST_PX_EXACT,EXACT,PASS,,78.6056049213944,-1855.0922761449078,-23.59999999999999949113043478,c412800f-b2e5-4b90-ac86-929356b7fc56,,111,23
2021-02-02T07:30:30.791000Z,43196,1a960f35-c334-cf56-2af8-d5289d1755c0,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,7,23.587,23.587,23.5875,23.587,23.587,23.5875,1651125,10000,0.0005,23.5875,23.5875,1651125.0000,True,0.0005,0.0005,1,True,True,1651090.000,35.000,5.000,RECOVERED_FROM_EXEC_COST_OFFICIAL_MULTIPLIER,OBSERVED_PRICE_COARSENED_BY_ONE_TICK,PASS,,23.923444976076556,-564.2942583732057,-23.58749999999999729763000000,6aa3b3d6-7c13-40af-aa53-9cd16d9d4758,,7,7
2021-02-02T07:30:30.825000Z,43197,c52d8901-2b63-71e9-02cc-3650dc67d5c9,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,18,23.587,23.587,23.5875,23.587,23.587,23.5875,4245750,10000,0.0005,23.5875,23.5875,4245750.0000,True,0.0005,0.0005,1,True,True,4245660.000,90.000,5.000,RECOVERED_FROM_EXEC_COST_OFFICIAL_MULTIPLIER,OBSERVED_PRICE_COARSENED_BY_ONE_TICK,PASS,,61.51742993848257,-1451.0423786739577,-23.58750000000000130247638889,6aa3b3d6-7c13-40af-aa53-9cd16d9d4758,,25,18
2021-02-02T07:31:23.382000Z,43198,d4c7057d-3c72-5e27-a251-144c00ee698a,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,17,23.587,23.587,23.5875,23.587,23.587,23.5875,4009875,10000,0.0005,23.5875,23.5875,4009875.0000,True,0.0005,0.0005,1,True,True,4009790.000,85.000,5.000,RECOVERED_FROM_EXEC_COST_OFFICIAL_MULTIPLIER,OBSERVED_PRICE_COARSENED_BY_ONE_TICK,PASS,,58.060109289617486,-1369.4928278688524,-23.58749999999999912116941176,6aa3b3d6-7c13-40af-aa53-9cd16d9d4758,,42,17
2021-02-02T07:31:23.498000Z,43199,f7cb2058-ec4b-c864-c579-be076a00c845,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,18,23.587,23.587,23.5875,23.587,23.587,23.5875,4245750,10000,0.0005,23.5875,23.5875,4245750.0000,True,0.0005,0.0005,1,True,True,4245660.000,90.000,5.000,RECOVERED_FROM_EXEC_COST_OFFICIAL_MULTIPLIER,OBSERVED_PRICE_COARSENED_BY_ONE_TICK,PASS,,61.47540983606557,-1450.0512295081967,-23.58750000000000110003333333,6aa3b3d6-7c13-40af-aa53-9cd16d9d4758,,60,18
2021-02-02T07:31:23.591000Z,43200,16259549-19d9-945c-ffb7-366250755fdc,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,16,23.587,23.587,23.5875,23.587,23.587,23.5875,3774000,10000,0.0005,23.5875,23.5875,3774000.0000,True,0.0005,0.0005,1,True,True,3773920.000,80.000,5.000,RECOVERED_FROM_EXEC_COST_OFFICIAL_MULTIPLIER,OBSERVED_PRICE_COARSENED_BY_ONE_TICK,PASS,,54.6448087431694,-1288.9344262295083,-23.58750000000000141825000000,6aa3b3d6-7c13-40af-aa53-9cd16d9d4758,,76,16
