symbol,model,rows_seen,rows_with_future_label,action_accuracy,direction_accuracy,action_macro_f1,action_weighted_f1,target_exposure_mae,target_exposure_correlation,open_timing_error_seconds,close_timing_error_seconds,add_recall,reduce_recall,flip_recall,cycle_direction_match,confidence_calibration_gap
ETHM21,frequency_baseline,27,26,0.3076923076923077,0.6923076923076923,0.07142857142857142,0.15384615384615385,0.2529350796530194,0.48920800279239846,1104932.884,90997.14207692308,1.0,0.0,,0.8571428571428571,0.20169144030195765
ETHM21,distilled_rules,27,26,0.07692307692307693,0.6923076923076923,0.04040404040404041,0.11188811188811189,0.25920434123051106,0.5430682365048858,1104932.884,72511.63500000001,0.2222222222222222,0.0,,0.8571428571428571,0.5702853360344275
ETHM21,cross_asset_logistic,27,26,0.5384615384615384,0.7307692307692307,0.19505494505494506,0.4201183431952663,0.22184870489551298,0.6032155203724379,1104932.884,51692.41799999999,1.0,0.75,,0.9047619047619048,0.18193644943970178
ETHM22,frequency_baseline,147,146,0.3356164383561644,0.9863013698630136,0.08376068376068375,0.16866877414822617,0.29133819258773314,0.20856793616748018,433126.1253333334,26379.097677083333,1.0,0.0,0.0,0.993103448275862,0.12980119875648527
ETHM22,distilled_rules,147,146,0.1232876712328767,0.8972602739726028,0.11268790914808613,0.18520890875115628,0.07129171528409432,0.919650435564355,23.430000000000003,17017.6989375,0.10204081632653061,0.12903225806451613,0.0,0.903448275862069,0.4119540554754149
ETHM22,cross_asset_logistic,147,146,0.8493150684931506,0.9863013698630136,0.2807683010728696,0.8346268848320165,0.07699789386748322,0.9622729018108092,433126.1253333334,4704.036291666666,0.7346938775510204,0.946236559139785,0.0,0.993103448275862,0.1297039556807985
ETHU20,frequency_baseline,32,31,0.3225806451612903,0.7096774193548387,0.12195121951219512,0.15735641227380015,0.2251895243702712,-0.04932656530811697,339213.4311428571,104001.07585714289,1.0,0.0,,1.0,0.22864276839880807
ETHU20,distilled_rules,32,31,0.0,0.6774193548387096,0.0,0.0,0.2731666254830619,0.10608129285596692,339213.4311428571,99065.23678571431,0.0,0.0,,0.9545454545454546,0.6214212808174013
ETHU20,cross_asset_logistic,32,31,0.3548387096774194,0.7096774193548387,0.18997668997668998,0.22031731709151064,0.2591299071091415,0.10691225915654991,339213.4311428571,103519.29428571429,1.0,0.2,,1.0,0.31702520662114486
ETHU21,frequency_baseline,54,53,0.4339622641509434,0.9056603773584906,0.1513157894736842,0.26266137040714993,0.20853929712495478,0.30203394592915134,532929.54825,38926.14788461538,1.0,0.0,,1.0,0.13936465287199862
ETHU21,distilled_rules,54,53,0.39622641509433965,0.7735849056603774,0.18004201680672272,0.38748612652608216,0.16729097299297074,0.7172013840719264,320168.21774999995,25893.223846153844,0.17391304347826086,0.7142857142857143,,0.8125,0.4238715968900467
ETHU21,cross_asset_logistic,54,53,0.6981132075471698,0.9056603773584906,0.3804824561403509,0.6321582257530619,0.11007292977183825,0.8552828175693781,532929.54825,32406.546499999997,0.9565217391304348,0.7142857142857143,,1.0,0.13008141170304777
ETHUSD,frequency_baseline,3536,3535,0.5171145685997172,0.8526166902404526,0.12203225141791288,0.37389362439592577,0.11622296113157475,0.5189626769912519,317990.46163157886,19147.777609168614,1.0,0.0,0.0,0.9067388688327317,0.0562229935403919
ETHUSD,distilled_rules,3536,3535,0.2571428571428571,0.6545968882602546,0.1301595518231256,0.30568919707189834,0.0760811319535343,0.590347452717823,144690.0504035087,11657.926442113434,0.2284313725490196,0.35511363636363635,0.0,0.6820096269554753,0.46350239240675833
ETHUSD,cross_asset_logistic,3536,3535,0.583026874115983,0.8302687411598303,0.1578817497682683,0.49806372698372087,0.037950693354912676,0.8296174080427051,317990.46163157886,14217.93702797203,0.8897058823529411,0.5909090909090909,0.0,0.8829723225030084,0.07685893248949341
ETHUSDZ20,frequency_baseline,2,1,0.0,0.0,0.0,0.0,0.021136765389461437,,,10382.394,,,,,0.6046511627906976
ETHUSDZ20,distilled_rules,2,1,0.0,0.0,0.0,0.0,0.0625,,,10382.394,,,,,0.6631736526946107
ETHUSDZ20,cross_asset_logistic,2,1,0.0,0.0,0.0,0.0,0.0023565292358398438,,,10382.394,,,,,0.4978596920918817
ETHZ20,frequency_baseline,207,206,0.6213592233009708,0.9611650485436893,0.19161676646706585,0.47625138073367823,0.24193411733927486,0.26209711242979283,83764.32599999999,32469.11084285714,1.0,0.0,,1.0,0.2331074904128504
ETHZ20,distilled_rules,207,206,0.1941747572815534,0.9077669902912622,0.06565809880727007,0.1652139632078483,0.2013251652620983,0.6172669473126008,83764.32599999999,9735.468299999999,0.046875,0.5483870967741935,,0.9444444444444444,0.5177857865423682
ETHZ20,cross_asset_logistic,207,206,0.6796116504854369,0.9611650485436893,0.3382980576604825,0.6520625465627888,0.11623715574527275,0.8359896430508852,83764.32599999999,18234.415214285713,0.796875,0.6129032258064516,,1.0,0.15558233815024233
ETHZ21,frequency_baseline,307,306,0.5294117647058824,0.9934640522875817,0.1730769230769231,0.3665158371040725,0.2767186453740237,0.19205299476386298,17271.912,25525.61777464789,1.0,0.0,,1.0,0.20063557851856118
ETHZ21,distilled_rules,307,306,0.23529411764705882,0.9771241830065359,0.13906589014502685,0.2777636714158085,0.12418851744256357,0.8051513898844611,11832.4135,18163.859908450708,0.09876543209876543,0.39285714285714285,,0.9802631578947368,0.46857559435163776
ETHZ21,cross_asset_logistic,307,306,0.7777777777777778,0.9934640522875817,0.391438103903982,0.772602034444351,0.058871235678734,0.9862805301399671,17271.912,8548.513429577464,0.7098765432098766,0.8785714285714286,,1.0,0.09145878410301604
