symbol,settlement_currency,lastLiquidityInd,trade_count,positive_execComm_count,negative_execComm_count,zero_execComm_count,missing_execComm_count,positive_commission_count,negative_commission_count,zero_commission_count,fee_formula_exact_count,fee_formula_difference_count,fee_formula_difference_raw_sum
TRXM21,XBT,RemovedLiquidity,102,97,3,2,0,99,3,0,22,80,-38.83050
TRXU20,XBT,AddedLiquidity,363,0,345,18,0,0,363,0,0,363,126.47070000026497604184
TRXU20,XBT,RemovedLiquidity,408,402,4,2,0,404,4,0,0,408,-137.42050000385324647340
TRXU21,XBT,AddedLiquidity,1716,0,1716,0,0,0,1716,0,59,1657,823.00500
TRXU21,XBT,RemovedLiquidity,42,41,1,0,0,41,1,0,5,37,-20.31150
TRXUSDT,XBT,AddedLiquidity,12,0,12,0,0,0,12,0,1,11,6.3793
TRXUSDT,XBT,RemovedLiquidity,3,3,0,0,0,3,0,0,0,3,-0.3960
TRXZ20,XBT,AddedLiquidity,392,0,345,47,0,0,392,0,33,359,169.04667500002633112586
TRXZ20,XBT,RemovedLiquidity,106,105,1,0,0,105,1,0,14,92,-32.53030000028103209170
TRXZ21,XBT,AddedLiquidity,114,0,114,0,0,0,114,0,0,114,57.6965
TRXZ21,XBT,RemovedLiquidity,10,10,0,0,0,10,0,0,0,10,-5.4545
UNIUSDT,XBT,AddedLiquidity,786,0,786,0,0,0,786,0,17,769,380.47050
UNIUSDT,XBT,RemovedLiquidity,20,20,0,0,0,20,0,0,1,19,-10.90475
XBTM21,XBT,RemovedLiquidity,19,19,0,0,0,19,0,0,3,16,-8.75000
XBTUSD,XBT,AddedLiquidity,32985,11398,21427,160,0,11398,21587,0,836,32149,4787.09263500334835392402
XBTUSD,XBT,RemovedLiquidity,65889,65856,32,1,0,65856,32,1,3352,62537,-31327.23799999998055108840
XLMUSDT,XBT,AddedLiquidity,43,0,43,0,0,0,43,0,0,43,25.13725
XLMUSDT,XBT,RemovedLiquidity,10,10,0,0,0,10,0,0,1,9,-4.67675
XRPUSD,XBT,AddedLiquidity,2488,305,2183,0,0,305,2183,0,187,2301,838.48275000002252081364
XRPUSD,XBT,RemovedLiquidity,3009,3001,8,0,0,3001,8,0,290,2719,-1356.767050
XTZUSDTZ20,XBT,AddedLiquidity,5,0,5,0,0,0,5,0,0,5,2.00000000000501360000
XTZUSDTZ20,XBT,RemovedLiquidity,4,4,0,0,0,4,0,0,0,4,-2.250000
YFIUSDTH21,XBT,AddedLiquidity,331,0,331,0,0,0,331,0,25,306,148.62250
YFIUSDTH21,XBT,RemovedLiquidity,28,28,0,0,0,28,0,0,0,28,-14.67500
YFIUSDTZ20,XBT,AddedLiquidity,412,0,412,0,0,0,412,0,23,389,221.93000
YFIUSDTZ20,XBT,RemovedLiquidity,95,92,3,0,0,92,3,0,9,86,-38.92475
