symbol,model,rows_seen,rows_with_future_label,action_accuracy,direction_accuracy,action_macro_f1,action_weighted_f1,target_exposure_mae,target_exposure_correlation,open_timing_error_seconds,close_timing_error_seconds,add_recall,reduce_recall,flip_recall,cycle_direction_match,confidence_calibration_gap
LINKUSDTZ20,frequency_baseline,6,5,0.2,0.2,0.08,0.08,0.5179416227684372,-0.10144263042053107,951627.304,27132.803499999998,1.0,,,0.3333333333333333,0.2983955771981005
LINKUSDTZ20,distilled_rules,6,5,0.0,0.2,0.0,0.0,0.6581230494721347,-0.20630821766862023,951627.304,23273.2535,0.0,,,0.3333333333333333,0.6962703942107019
LINKUSDTZ20,cross_asset_logistic,6,5,0.2,0.2,0.06666666666666668,0.06666666666666668,0.581932278214214,-0.14658221756663042,951627.304,27132.803499999998,1.0,,,0.3333333333333333,0.4230324244371472
LTCH21,frequency_baseline,140,139,0.5683453237410072,0.9496402877697842,0.1811926605504587,0.4119200052801795,0.16540493590695293,0.26946769666178544,323475.6263333333,57203.19394444445,1.0,0.0,,1.0,0.12482527518671782
LTCH21,distilled_rules,140,139,0.3237410071942446,0.9136690647482014,0.1342840166369578,0.33643245831142576,0.15148950753565152,0.6783308600525725,305035.5945,29589.22761111111,0.20253164556962025,0.5957446808510638,,0.9621212121212122,0.38664469062064644
LTCH21,cross_asset_logistic,140,139,0.7266187050359713,0.9496402877697842,0.3681625577812019,0.6852407134384942,0.07688826923644554,0.9144179222020741,323475.6263333333,28379.099925925926,0.9113924050632911,0.6170212765957447,,1.0,0.17659913565734506
LTCM20,frequency_baseline,18,17,0.23529411764705882,0.5294117647058824,0.06913580246913581,0.13333333333333333,0.27054156702843113,0.23389583533577205,697239.33,85881.11933333334,1.0,0.0,0.0,0.6,0.2667034863523047
LTCM20,distilled_rules,18,17,0.11764705882352941,0.5882352941176471,0.05555555555555555,0.1372549019607843,0.3262475689713958,0.32282178956615687,697239.33,46091.80466666666,0.2857142857142857,0.0,0.0,0.6666666666666666,0.5561689081121448
LTCM20,cross_asset_logistic,18,17,0.29411764705882354,0.47058823529411764,0.08382066276803118,0.17750257997936017,0.33849773814560047,0.19488582814281397,697239.33,43239.819444444445,1.0,0.2,0.0,0.5333333333333333,0.28541808478969927
LTCM21,frequency_baseline,10,9,0.6666666666666666,0.7777777777777778,0.26666666666666666,0.5333333333333334,0.34217526307500257,0.468699097222727,1621295.643,308571.254,1.0,,,1.0,0.2707537614932077
LTCM21,distilled_rules,10,9,0.1111111111111111,0.8888888888888888,0.05,0.16666666666666666,0.2651190476190476,0.4672230944658846,1621295.643,308571.254,0.16666666666666666,,,1.0,0.5370488370841874
LTCM21,cross_asset_logistic,10,9,0.6666666666666666,0.7777777777777778,0.26666666666666666,0.5333333333333334,0.24639814346555677,0.4601458378796308,1621295.643,308571.254,1.0,,,1.0,0.207520944902701
LTCU20,frequency_baseline,86,85,0.5529411764705883,0.9058823529411765,0.17803030303030304,0.39376114081996433,0.24983121897920618,0.040353583471285426,591342.7891428571,45792.517483870964,1.0,0.0,,1.0,0.20236923831116194
LTCU20,distilled_rules,86,85,0.35294117647058826,0.8588235294117647,0.15609977324263039,0.41219794584500463,0.1930332410955651,0.5404130839832965,591342.7891428571,27821.773161290323,0.2765957446808511,0.7391304347826086,,0.948051948051948,0.42312168822324026
LTCU20,cross_asset_logistic,86,85,0.7058823529411765,0.9058823529411765,0.3799251379038613,0.63604969174431,0.1553370722011885,0.584040042540966,591342.7891428571,30731.841709677417,0.9148936170212766,0.7391304347826086,,1.0,0.0941878264264177
LTCU21,frequency_baseline,18,17,0.5882352941176471,0.8235294117647058,0.18518518518518517,0.43572984749455335,0.20759702357630475,-0.07328271872427088,783946.6755,112078.70300000001,1.0,0.0,,1.0,0.19803456899204225
LTCU21,distilled_rules,18,17,0.23529411764705882,0.7058823529411765,0.11805555555555554,0.2598039215686274,0.2327196818568182,-0.21652030276135537,783946.6755,79136.4602,0.3,0.5,,0.8571428571428571,0.5039646548622859
