window,period,strategy,status,note,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,win_rate,payoff_ratio,profit_factor,turnover,average_exposure,maximum_exposure,fees,funding,slippage,longest_drawdown_recovery_days,return_concentration_top5,executed_events,signal_events
WF1_2020_2022_train_2023_val_2024_test,TEST,frequency_baseline,PASS,Unitless exposure-return proxy; next-bar open execution.,6.0179152328032615e-06,6.005583402357573e-06,0.0011730747363666448,0.005705993863132749,0.00783183134280744,-0.0015600751139728253,0.003849547594579592,0.4980030168201956,0.9952310657599801,1.0000700529480167,1.153190000000001,0.0016064120710753964,0.00305,0.0005930804770206787,0.00017771484682953766,0.0,292.7048611111111,0.004119431463690644,681,2257
WF1_2020_2022_train_2023_val_2024_test,TEST,logistic_numpy,PASS,Unitless exposure-return proxy; next-bar open execution.,0.2126768692230896,0.2121977820618881,0.1362859029162795,1.480138320940398,2.071314927565505,-0.09461369110601159,2.2427809292856713,0.4992173343832121,1.004375307252762,1.0142631295602458,0.25,0.24947822292214136,0.25,0.00012857388570414963,0.03143157610438975,0.0,229.36111111111111,0.0025258208327027278,1,2257
WF1_2020_2022_train_2023_val_2024_test,TEST,decision_tree_numpy,PASS,Unitless exposure-return proxy; next-bar open execution.,-0.0520019296173333,-0.051898182623378974,0.06125912173883478,-0.8393318609133902,-1.2058438828226286,-0.0768646964728198,-0.6751888058483486,0.4946731303778615,1.0000356362618574,0.991554473019111,18.81931999999997,0.10540973588584619,0.17211,0.00967869239483925,-0.010937888408511159,0.0,343.3923611111111,0.0037409042195520542,460,2257
WF1_2020_2022_train_2023_val_2024_test,TEST,btc_buy_hold,PASS,Unitless exposure-return proxy; next-bar open execution.,0.21858473176376414,0.2180911797455951,0.13633100944227247,1.515268351631544,2.120690592203056,-0.0946136911060329,2.305069987188026,0.5004126782343064,1.0040875001117722,1.0145896221580735,0.25,0.25,0.25,0.00012857388570414963,0.03169858618747266,0.0,229.36111111111111,0.0025220925343601825,1,1
WF1_2020_2022_train_2023_val_2024_test,TEST,sma_trend,PASS,Unitless exposure-return proxy; next-bar open execution.,-1.7228705262564015,,6.216782690912606,-0.912928774403121,-0.939651083879113,-1.7066855408472703,,0.4811259000654593,0.8539847485775252,0.7980143817089694,3384.25,0.24999762828600974,0.25,1.7405046907773083,0.0007893613309587211,0.0,363.49305555555554,0.1142900036464787,6769,105409
WF1_2020_2022_train_2023_val_2024_test,TEST,volatility_filtered_trend,PASS,Unitless exposure-return proxy; next-bar open execution.,-1.6064335768390174,,3.297401049919133,-0.4488989582291366,-0.5511103541692215,-1.6004164281170987,,0.3397053382538493,1.0468423618923521,0.9321231205928472,3088.25,0.16627849614359305,0.25,1.5882732101037407,0.00021098922278141874,0.0,363.49305555555554,0.15608194652555435,12240,105409
WF1_2020_2022_train_2023_val_2024_test,TEST,teacher_historical_trajectory,PASS,Teacher trajectory is descriptive only.,0.002018599508063934,0.002014458870081004,0.06484495717165244,0.06345583825027767,0.0908625891767147,-0.0553192406219144,0.036415157681737725,0.4821220199413712,1.0092020361932925,1.0006760088061797,14.760229999999948,0.1110044603402011,0.25,0.007591120499947815,-0.010942049964178531,0.0,176.94097222222223,0.0026695178628223966,1556,2257
WF1_2020_2022_train_2023_val_2024_test,TEST,same_turnover_random,PASS,Unitless exposure-return proxy; next-bar open execution.,-0.08064269645014299,-0.08048428123971674,0.11231520131938982,-0.6909082038333698,-0.9809526472474738,-0.10023407542851714,-0.8029632726758161,0.34210551281199897,1.0125751635832259,0.9920793613534397,357.75,0.17260622906962403,0.25,0.18398923044263857,0.0009358706121499161,0.0,365.1875,0.0038573795226768464,1101,2257
WF2_2020_2023_train_2024_val_2025_test,VALIDATION,distilled_rules,PASS,Unitless exposure-return proxy; next-bar open execution.,0.02464081817970909,0.024589708921865183,0.09700028111546906,0.2989234726909333,0.43014522303228137,-0.094496837014997,0.26021726968451553,0.4665825498771452,1.0166412100596973,1.003420589868674,82.14709000000005,0.14272767932530311,0.25,0.04224788224235398,0.0047011016803945324,0.0,181.20486111111111,0.004750691657018737,1034,2257
WF2_2020_2023_train_2024_val_2025_test,VALIDATION,frequency_baseline,PASS,Unitless exposure-return proxy; next-bar open execution.,0.00022179047745596314,0.0002213359384790614,0.0010869759010103475,0.20414445537881357,0.2802633552313428,-0.001521297882964956,0.1454915181027436,0.4982401882192223,0.9966580922830282,1.0024607172002749,1.0004100000000018,0.0015073998425184606,0.00287,0.0005145064039891538,0.0001670163093229424,0.0,292.7048611111111,0.004097483041036817,681,2257
