chain_status,symbol,group_count,trade_count,sample_orderID,sample_raw_cumQty_order,sample_recovered_execID_order
UNIQUE_CUMQTY_CHAIN,LUNAUSD,14,50,d1436252-a336-4f55-80bc-f28449868c17,"488,555","d782db28-98ef-1401-6f93-40c87eaedb22,de23c9ec-4d19-1a42-eaff-3c4212fce60f"
UNIQUE_CUMQTY_CHAIN,TRXH21,24,125,96f142e6-78bf-453e-bb69-20f6917dd648,"50000,40000,117812,67000,87101","6883e660-988a-8034-9703-29bf418f6e95,4c8bf395-1877-f684-c2ed-7c3d5579dd42,dd6954df-63a4-2bff-038e-9d5616605666,e131228a-b436-ac01-f35d-78bdf6dc2937,ad6ab21a-c0e0-2032-4cd9-2f9e7aed8d6d"
UNIQUE_CUMQTY_CHAIN,TRXM20,3,29,93236427-056d-cade-5579-121781460f14,"545550,815550,445550,715550,275031,265031,2000000,615550,865550,495550,395550,1065550,915550,255031,965550","d5e0da60-76a0-518c-a0a6-db5312fefae3,637fd750-b826-c998-7d8c-0be8b21fb2b2,36bae7ed-94fd-8ce8-64e9-9fa7e58c65b3,aae5fbc2-d267-258e-b41c-2a8bc44c6904,229d922d-b57b-5fd3-b851-ab3b7afb5f20,9108a0d8-6298-e2eb-fa6c-e459fa9394a3,0eb8698a-0481-5731-cd9b-c37a7fe1d025,7a5c90c7-0f80-64ef-1638-96e00cae9004,27bbc15d-fd55-bc06-7740-ffb7cec663eb,148665a3-da94-3559-f344-e9c2d226e333,90a00e66-a997-03d9-e9c6-cceb770816f1,d26509c7-f33f-b03a-e789-7782c053ea93,e0d19294-00ed-5263-a449-7130581c60a6,baffb358-e8cd-456f-bc0e-56a54e3b0a6f,6ce05e88-09ba-310d-73d6-064608a9e71f"
UNIQUE_CUMQTY_CHAIN,TRXM21,17,85,ae2fe155-37b1-4a49-b580-60fcd30c0b5a,"100000,5000,35729","78d0adfe-6503-3908-d2e6-0bff8e8e26d0,c59f744f-b7f2-ff4b-110f-69c8fa9def6d,43be14f8-53f2-373e-31a0-8000deb79957"
UNIQUE_CUMQTY_CHAIN,TRXU20,39,393,ee4d24fb-a66e-ddcc-470d-50e494ae6018,"2608106,2768278,2544106,1265089,1255089,1416089,2928244,1516089,89948,1155089,555380,2542106,2516089,1415089,546250,3000000,139948,39948,557084,146250","d3719cf6-b362-8d4f-33e9-f27b0bed2223,7c55ddce-dbdf-763c-eaed-17a19b928a24,c87379f7-c406-3da5-0dd5-9ea1eb230487,f4b5cffb-1d9e-1004-0989-9c383d7447fa,b3260db7-dd29-83f1-b18d-fd25cfb8026d,9a8140eb-e2ce-bdba-3896-396c527ab8dc,e2ce8444-3894-a6d6-52da-bc9055ce3196,86f4be7b-8b46-a7f5-9950-4cf73019beb8,23156e31-db33-558e-3e1c-bf4c9ed5a13a,21fd54c7-fb5a-8622-f655-67f9dd39b84e,ac9a2856-a46d-d002-bb45-ea578d0a90b0,37eda79c-152e-1894-b765-3696d8dfb04f,6f1fec03-2b6a-c088-12f8-f618c88e0aea,a2922eac-d745-e302-76c5-3c400e0c3d1a,9cce4137-0f3c-7648-6f17-91372fbd5983,1fffd90e-a567-1971-a2c7-a17b17cbd584,04f81a91-07d1-986e-4e80-322ec9a5e550,0de8fc17-983f-fec3-3caf-b550373ccc58,510b3359-dabf-0278-3b93-238b21590d05,c008d2b0-7b54-fba8-d70a-b1e26444ebe9"
UNIQUE_CUMQTY_CHAIN,TRXU21,9,33,68aa8c95-c4fb-4311-8fe0-5c74661fd10c,"236900,166900,57600,109800,600,500000","c620e6a5-9770-40a7-3082-d5f6ecedb56b,81057a88-a93f-ccd6-531c-a8266c9d13d4,87c199c1-6c8f-62ef-e78e-67bc94f948bd,7f9dcf8c-3c36-ad9b-0286-6379857b6cd1,5e1cc5e9-4db3-ef27-da1d-e6545f21dd48,e36f8962-1a12-4ba3-dbe2-586168cb35c9"
UNIQUE_CUMQTY_CHAIN,TRXZ20,21,99,da14243f-10fa-429e-a5d8-c89bd64c0b24,"50000,15250","c61dee5f-2da1-52ac-3db4-bf03542d8c5a,c15389e5-c3fe-4468-f005-5f85f9c0c85e"
UNIQUE_CUMQTY_CHAIN,TRXZ21,3,6,748f9615-acc8-455b-a844-9f8f6f63189f,"7850000000000,7680000000000","472a1d34-4cde-591b-5c4b-e764cef12c62,12f9f73c-0904-b028-39fd-94d2ebb8a7b5"
UNIQUE_CUMQTY_CHAIN,UNIUSDT,6,14,170fc6cd-a55b-4b67-b01e-f8e50d2d25bf,"910,928,110","c4ca3f2a-5626-2c23-91b6-e144d7bd20e4,544ffab7-64f6-3996-096d-29157ccc8f12,b2ec9718-c9db-6710-d2e5-1eb8fd798e6d"
UNIQUE_CUMQTY_CHAIN,XBTM21,2,19,41a0a324-db5c-4658-9da5-ddce32927cd0,"16269,289484,303884,266084,23269,297884,321084,273584,281384,17269,333333,257384","4605e083-aff4-e3a5-2252-7f04d439aba5,cf20ac25-92ea-0091-a242-408e0d5f0baa,5d54c13e-2be5-15ad-9b76-03f161b1ddeb,e3149995-a8c9-cef0-3cfa-e1f822d21f2c,5a3b1c15-d761-6081-7d6d-481cef7f8362,c272af27-c30b-59ee-751e-e3e8cb858ebb,cd599d50-cf42-32ca-5a93-fb3b79ba023c,4884a8de-b739-c1f4-8537-c2706ac7a3e9,5f5c76c3-750e-310f-ef9b-5c39a8184e4f,54cf5987-05c9-3dc0-8168-5e758625ff6f,947acca1-8ed0-d95b-0a22-46176898861f,d919175b-ac93-375e-d934-f1c75f02fec6"
UNIQUE_CUMQTY_CHAIN,XBTUSD,8498,64376,a75e0232-d365-5fa8-ef9d-2c9ba7d006c4,"7599,6099,9666,4599","9276f312-b22e-419e-3164-598323c2c648,74584e83-9291-0be4-eb81-94026b0358cf,1f778c8c-a0b4-62da-b752-7a01cc143bb6,785e08ef-365b-13f1-d25e-a117ad2607c9"
UNIQUE_CUMQTY_CHAIN,XLMUSDT,2,10,6d2ef065-1103-43e7-90a2-feda315786b5,"197,1111,994,297","20cfa47e-14b7-eaa5-23e7-6af438ff113d,fb50d925-8936-74b8-0e97-edfc5a174175,9d115636-7a75-6beb-f616-89dd2491fd71,8e39bd8d-3df8-d2b2-de50-16c88e3de5d5"
UNIQUE_CUMQTY_CHAIN,XRPUSD,474,2871,2ccf6d42-26cc-f91e-c668-9ae9f219a281,"5188,5193,10000","506f1cdf-5fb4-1547-4276-78752a3251d6,9b497cb9-3770-c14c-672f-cb7302198fd9,a569f8ec-6e28-712c-64d3-06505a72884b"
UNIQUE_CUMQTY_CHAIN,YFIUSDTH21,5,16,4746c3b9-b2dc-4af1-b9c3-ae58eee955e9,"100,999,350","74c39556-e6d1-2b59-8eb1-7af3068a56af,a4f69ed3-2811-b60e-3e90-06e0160cc24a,7ef2f147-b13e-053c-ea3f-a29658064d0a"
UNIQUE_CUMQTY_CHAIN,YFIUSDTZ20,14,42,e7bb7db5-2c15-44f5-b427-060029ea44aa,"1000,334","9e7eb7f2-81d4-23bc-16d1-45633d956ef1,7d8a1d1e-0d9e-1632-1918-03fc39897b29"
