symbol,decision_row_count,order_row_count,synthetic_row_count,first_decision_time_utc,last_decision_time_utc,instrument_class,payout_model,quote_currency,settlement_currency,multiplier_major,resolved_lot_size,terms_resolution_status,train_position_scale_contracts,market_coverage_status,market_bar_count,market_grid_gap_count
TRXUSDT,7,7,0,2021-10-29T17:27:32.668000Z,2021-11-02T10:58:24.038000Z,DERIVATIVE,QUANTO,USDT,XBT,0.001,100,SNAPSHOT_FALLBACK,8332.0,PASS,186,0
TRXZ20,69,69,0,2020-10-02T04:39:11.650000Z,2020-12-16T10:03:47.449000Z,DERIVATIVE,LINEAR,XBT,XBT,1,1,SNAPSHOT_FALLBACK,3980667.0,PASS,1903,0
TRXZ21,23,23,0,2021-11-15T06:44:35.666000Z,2021-12-03T20:38:43.835000Z,DERIVATIVE,LINEAR,XBT,XBT,0.00000001,10000000000,SNAPSHOT_FALLBACK,350000000000000.0,PASS,543,0
UNIUSDT,74,74,0,2021-04-06T01:12:53.327000Z,2021-07-13T13:44:24.421000Z,DERIVATIVE,QUANTO,USDT,XBT,0.00001,10,SNAPSHOT_FALLBACK,19221.0,PASS,2461,0
XBTM21,2,2,0,2021-06-05T14:47:48.300000Z,2021-06-05T14:48:22.779000Z,DERIVATIVE,INVERSE,USD,XBT,1,1,MATCHED,333333.0,PASS,97,0
XBTUSD,20845,20316,529,2020-05-01T09:03:47.360000Z,2026-07-18T21:17:31.514000Z,DERIVATIVE,INVERSE,USD,XBT,1,1,MATCHED,7663279.0,INSUFFICIENT,54469,0
XLMUSDT,6,6,0,2021-04-11T00:32:18.902000Z,2021-04-11T09:59:19.606000Z,DERIVATIVE,QUANTO,USDT,XBT,0.001,100,SNAPSHOT_FALLBACK,3333.0,PASS,106,0
XRPUSD,1206,1206,0,2020-07-25T20:39:42.895000Z,2023-06-15T06:59:21.588000Z,DERIVATIVE,QUANTO,USD,XBT,0.0002,1,SNAPSHOT_FALLBACK,305550.0,PASS,25403,0
XTZUSDTZ20,9,9,0,2020-10-10T07:58:05.289000Z,2020-10-13T13:57:53.783000Z,DERIVATIVE,QUANTO,USDT,XBT,0.0001,1,SNAPSHOT_FALLBACK,14000.0,PASS,175,0
YFIUSDTH21,78,78,0,2020-12-31T07:06:20.957000Z,2021-03-08T19:31:47.458000Z,DERIVATIVE,QUANTO,USDT,XBT,0.0000001,1,SNAPSHOT_FALLBACK,1668.0,PASS,1717,0
YFIUSDTZ20,188,188,0,2020-10-30T20:01:47.433000Z,2020-12-23T22:20:39.380000Z,DERIVATIVE,QUANTO,USDT,XBT,0.0000001,1,SNAPSHOT_FALLBACK,8000.0,PASS,1315,0
